ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846,label
7.45,3.81,9.45,3.14,3.61,3.23,2.93,3.39,3.14,0.00
5.68,3.83,9.68,4.19,4.31,3.15,2.81,3.25,2.78,0.00
9.71,5.72,8.21,3.31,7.69,3.12,2.72,4.18,4.54,0.00
10.19,4.33,7.78,4.68,7.60,3.50,3.28,4.62,5.67,0.00
9.18,3.74,6.85,3.26,7.54,3.31,2.83,3.23,2.86,0.00
3.70,4.83,9.14,3.11,5.84,3.42,2.93,3.27,3.06,0.00
7.37,4.15,9.12,3.72,6.24,4.37,3.02,3.80,2.86,0.00
7.33,4.20,8.01,3.16,7.46,3.30,2.91,3.43,4.43,0.00
8.11,6.93,10.05,3.08,7.05,4.12,2.85,3.21,2.88,0.00
7.91,4.24,7.92,3.17,5.94,3.36,5.79,3.40,3.02,0.00
9.03,4.37,3.82,3.09,7.33,3.67,2.88,3.54,6.39,0.00
8.10,3.74,9.52,3.83,7.42,3.32,2.78,3.37,3.08,0.00
8.87,5.05,8.14,7.44,6.87,3.47,3.00,5.08,4.93,0.00
8.07,3.71,4.40,3.47,6.12,3.87,3.13,3.29,5.90,0.00
6.64,4.06,9.75,5.73,6.63,3.36,2.71,3.22,3.16,0.00
5.34,3.30,7.82,3.30,6.32,5.25,3.13,3.74,7.00,0.00
6.92,4.10,8.87,3.75,6.96,3.14,2.67,3.23,2.92,0.00
7.54,3.97,7.84,3.22,6.32,3.22,3.26,3.24,2.95,0.00
8.13,3.42,7.84,3.14,7.47,6.54,2.85,3.15,3.03,0.00
8.37,3.84,5.79,3.28,7.81,6.65,2.77,3.29,2.89,0.00
7.98,3.91,6.65,3.15,6.71,4.93,2.89,3.15,2.94,0.00
9.23,5.14,9.93,3.26,7.27,3.37,2.83,3.77,2.90,0.00
7.68,6.86,8.80,3.17,7.40,3.34,2.72,3.36,3.04,0.00
7.67,3.28,8.34,3.21,5.91,3.16,2.95,3.29,3.05,0.00
7.60,3.28,7.79,3.14,6.99,9.53,2.83,3.31,2.96,0.00
6.45,4.32,6.40,4.12,7.19,3.10,2.78,3.30,3.00,0.00
9.95,3.85,9.51,3.35,7.44,3.28,2.98,5.32,3.15,0.00
8.17,3.40,10.43,3.07,6.61,3.06,2.84,4.20,6.87,0.00
8.85,2.99,7.80,3.24,6.73,7.51,3.08,3.17,4.87,0.00
8.23,5.39,9.62,5.26,6.55,3.15,2.89,3.71,3.33,0.00
7.56,3.06,5.25,3.21,7.09,3.34,3.06,3.36,4.40,0.00
7.28,4.28,8.71,3.52,6.70,7.66,2.84,3.21,3.43,0.00
8.23,4.32,8.76,3.42,6.01,4.87,3.23,3.24,3.06,0.00
10.07,4.72,7.07,3.02,7.71,3.32,3.00,4.20,6.16,0.00
7.38,4.87,6.96,3.24,6.88,10.37,2.81,3.29,3.03,0.00
8.93,4.59,7.68,3.26,6.35,3.31,2.61,3.41,3.80,0.00
6.70,3.26,8.90,3.25,7.54,4.97,3.00,3.37,5.78,0.00
8.97,3.25,9.68,7.19,7.16,3.30,2.81,3.73,3.11,0.00
8.40,5.67,4.24,3.51,6.60,3.37,2.90,3.30,3.09,0.00
7.80,3.53,9.34,3.25,6.94,4.09,3.15,3.33,3.06,0.00
8.27,4.34,8.21,3.18,7.50,7.56,2.98,3.32,3.35,0.00
8.01,3.36,9.89,3.48,6.39,3.35,2.69,3.17,2.85,0.00
6.90,4.53,8.93,4.50,3.02,3.27,3.02,3.09,3.21,0.00
6.41,4.55,8.62,7.57,3.51,6.50,5.42,3.21,3.28,0.00
5.64,3.56,4.14,3.15,5.64,9.30,2.95,3.35,2.92,0.00
9.32,3.40,8.57,3.17,6.86,8.54,3.18,3.49,6.36,0.00
8.16,5.86,9.39,3.26,4.67,3.25,2.85,3.32,2.93,0.00
7.49,3.32,9.82,3.23,5.87,3.75,3.01,3.39,6.57,0.00
